year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2016,61,997868,6.11,"187,805,922,349",10020,86,6108,1758,63509
2015,77,351830,21.89,"37,160,332,465",5492,47,6108,1758,63509
2015,13,103599,12.55,"304,097,759,674",81766,32,6108,1758,63509
2015,19,114010,16.67,"43,072,415,017",22036,2,6108,1758,63509
2015,2,615701,0.32,"317,741,039,198",6403,73,6108,1758,63509
2015,168,2624796,6.4,"1,197,789,902,774",27108,28,6108,1758,63509
2015,38,485940,7.82,"497,918,109,302",54629,1,6108,1758,63509
2016,45,493341,9.12,"514,459,972,806",55594,1,6108,1758,63509
2015,41,414205,9.9,"679,289,166,858",86068,67,6108,1758,63509
2015,63,1527522,4.12,"401,399,422,443",6552,48,6108,1758,63509
2016,69,1589015,4.34,"411,755,164,833",6713,48,6108,1758,63509
2015,25,1479388,1.69,"859,796,872,794",11961,58,6108,1758,63509
2015,1,58753,1.7,"35,799,628,571",7326,0,6108,1758,63509
2015,296,2261462,13.09,"91,030,959,455",2256,49,6108,1758,63509
2015,108,3070457,3.52,"2,885,570,309,161",47240,40,6108,1758,63509
2015,540,11778666,4.58,"18,120,714,000,000",60387,87,6108,1758,63509
2015,17,160620,10.58,"53,274,304,222",16696,0,6108,1758,63509
2016,3,26305,11.4,"11,183,458,131",4145,5,6108,1758,63509
2015,656,3500580,18.74,"594,749,285,413",14981,82,4243,9302,64805
2015,2,216876,0.92,"10,553,337,673",3775,72,4243,9302,64805
2016,5,202220,2.47,"10,546,135,160",3788,72,4243,9302,64805
2015,281,1608990,17.46,"1,349,034,029,453",60656,16,4243,9302,64805
2015,61,519646,11.74,"382,065,930,308",46484,90,4243,9302,64805
2016,58,525977,11.03,"390,799,991,147",46976,90,4243,9302,64805
2015,93,671971,13.84,"455,039,563,133",42830,79,4243,9302,64805
2015,1389,17569045,7.91,"1,802,214,373,741",9431,84,4243,9302,64805
2015,224,1400822,15.99,"243,999,477,738",14729,23,4243,9302,64805
2015,473,4197599,11.27,"291,519,591,533",6552,46,4243,9302,64805
2015,34,247562,13.73,"49,425,513,611",12351,97,4243,9302,64805
2016,30,242287,12.38,"51,338,524,831",12905,97,4243,9302,64805
2015,5,58308,8.58,"19,676,167,240",24718,75,4243,9302,64805
2016,5,58051,8.61,"20,153,871,681",25098,75,4243,9302,64805
2015,58,546597,10.61,"186,829,940,546",18703,43,4243,9302,64805
2016,78,527890,14.78,"195,305,084,919",19505,43,4243,9302,64805
2015,18,374051,4.81,"301,298,464,861",55972,8,4243,9302,64805
2015,234,1492713,15.68,"99,290,381,000",6832,74,4243,9302,64805
2015,21,70165,29.93,"22,566,956,982",18149,98,4243,9302,64805
2015,59,332082,17.77,"232,464,833,066",44862,43,4243,9302,64805
2015,17,247800,6.86,"13,993,546,732",4046,46,4243,9302,64805
2015,376,4520300,8.32,"3,375,611,100,742",43201,65,4243,9302,64805
2015,20,561302,3.56,"195,541,761,243",18927,98,4243,9302,64805
2015,125,1753669,7.13,"63,767,597,194",4472,1,4243,9302,64805
2015,69,582471,11.85,"122,879,042,002",13087,99,4243,9302,64805
2016,58,568065,10.21,"125,816,640,421",13448,99,4243,9302,64805
2015,7,24116,29.03,"16,942,247,374",54909,51,4243,9302,64805
2016,6,24099,24.9,"20,304,098,101",64708,51,4243,9302,64805
2015,35,644674,5.43,"299,093,839,690",39793,83,4243,9302,64805
2015,161,3057509,5.27,"1,832,868,490,534",31537,29,4243,9302,64805
2015,1091,6088330,17.92,"4,394,977,752,878",36510,23,4243,9302,64805
2015,312,1326082,23.53,"184,388,432,149",11784,19,4243,9302,64805
2015,65,557006,11.67,"6,678,178,340",1285,14,4243,9302,64805
2015,24,105890,22.67,"26,972,863,394",14382,59,4243,9302,64805
2015,66,188903,34.94,"41,508,609,233",15073,44,4243,9302,64805
2016,41,177888,23.05,"42,773,029,835",15742,44,4243,9302,64805
